"osid","itemid","itemqty","purrate","itemmrp","itemsalerate","entrydate","empid"
"CONS1-2875","5944","10.00","47.50","95.00","60.00","2022-07-14","204"
"CONS1-2876","6166","27.00","47.50","95.00","65.00","2022-07-14","204"
"CONS1-2868","6315","43.00","131.25","240.00","145.00","2022-07-13","204"
"MSNG1-47","35","1.00","215.00","325.00","225.00","2022-07-13","204"
"MSNG1-48","34","4.00","102.50","155.00","115.00","2022-07-13","204"
"MSNG1-49","6713","1.00","80.00","125.00","95.00","2022-07-13","204"
"MSNG1-50","5973","3.00","70.00","90.00","80.00","2022-07-13","204"
"MSNG1-51","6580","17.00","135.00","265.00","160.00","2022-07-13","204"
"MSNG1-52","8197","1.00","365.00","459.00","399.00","2022-07-13","204"
"MSNG1-53","8147","1.00","365.00","452.00","399.00","2022-07-13","204"
"CONS1-2867","9514","2.00","114.01","250.00","125.00","2022-07-12","204"
"MSNG1-45","6152","120.00","21.00","55.00","30.00","2022-07-12","204"
"MSNG1-46","4768","2.00","40.00","68.00","46.00","2022-07-12","204"
"PROD1-333","6163","8.00","28.50","55.00","37.00","2022-07-12","204"
"MSNG1-43","100","8.00","22.00","65.00","28.00","2022-07-11","204"
"MSNG1-44","99","2.00","44.00","65.00","55.00","2022-07-11","204"
"MSNG1-41","6084","2.00","52.30","75.00","65.00","2022-06-28","204"
"MSNG1-42","10277","1.00","24.40","45.00","33.00","2022-06-28","204"
"CONS1-2866","6549","54.00","4.00","8.00","5.00","2022-06-23","204"
"CONS1-2865","6987","1.00","56.70","215.00","205.00","2022-06-20","204"
"PROD1-332","11928","2.00","250.00","500.00","300.00","2022-06-12","204"
"CONS1-2864","11888","4.00","250.00","600.00","280.00","2022-06-11","204"
"PROD1-331","7431","2.00","250.00","600.00","300.00","2022-06-11","204"
"CONS1-2860","5920","5.00","65.00","85.00","78.00","2022-06-10","204"
"CONS1-2861","5921","2.00","130.00","165.00","140.00","2022-06-10","204"
"CONS1-2862","6567","2.00","26.00","30.00","35.00","2022-06-10","204"
"CONS1-2863","5501","12.00","151.90","190.00","160.00","2022-06-10","204"
"CONS1-2859","8531","2.00","32.00","67.00","45.00","2022-05-24","204"
"DMGE1-25","9997","35.00","40.00","75.00","50.00","2022-05-24","204"
"DMGE1-26","8531","6.00","40.00","75.00","50.00","2022-05-24","204"
"DMGE1-27","5650","33.00","32.00","68.00","45.00","2022-05-24","204"
"DMGE1-28","7716","30.00","30.00","51.00","36.00","2022-05-24","204"
"CONS1-2858","102","5.00","130.00","173.00","150.00","2022-05-23","204"
"PROD1-330","5964","25.00","26.00","40.00","30.00","2022-05-23","204"
"CONS1-2855","2367","13.00","24.17","25.00","25.00","2022-05-17","204"
"CONS1-2856","2361","2.00","27.60","30.00","30.00","2022-05-17","204"
"CONS1-2857","2362","1.00","61.70","65.00","65.00","2022-05-17","204"
"CONS1-2854","8477","2.00","66.30","100.00","76.50","2022-05-05","204"
"CONS1-2853","7719","1.00","248.00","80.00","62.00","2022-04-21","204"
"CONS1-2851","136","14.00","175.00","250.00","188.00","2022-04-13","204"
"CONS1-2852","11220","5.00","395.00","600.00","445.00","2022-04-13","204"
"PROD1-328","135","14.00","175.00","245.00","195.00","2022-04-13","204"
"PROD1-329","10306","5.00","395.00","600.00","445.00","2022-04-13","204"
"CONS1-1787","8737","3.00","36.66","50.00","42.50","2022-03-31","129"
"CONS1-1788","8738","4.00","36.66","50.00","42.50","2022-03-31","129"
"CONS1-1789","8736","2.00","36.00","50.00","42.50","2022-03-31","129"
"CONS1-1790","8734","5.00","36.00","50.00","42.50","2022-03-31","129"
"CONS1-1791","2595","1.00","200.00","220.00","209.00","2022-03-31","129"
"CONS1-1792","9884","4.00","8.88","10.00","10.00","2022-03-31","129"
"CONS1-1793","2616","1.00","90.00","99.00","95.00","2022-03-31","129"
"CONS1-1794","2627","1.00","118.18","130.00","123.50","2022-03-31","129"
"CONS1-1795","2587","1.00","106.91","125.00","115.00","2022-03-31","129"
"CONS1-1796","9402","3.00","8.95","10.00","10.00","2022-03-31","129"
"CONS1-1797","2589","3.00","271.82","299.00","284.05","2022-03-31","129"
"CONS1-1798","2628","2.00","163.64","180.00","171.00","2022-03-31","129"
"CONS1-1799","10412","3.00","0.01","10.00","10.00","2022-03-31","129"
"CONS1-1800","2591","2.00","172.75","190.00","180.50","2022-03-31","129"
"CONS1-1801","2629","2.00","166.50","185.00","175.75","2022-03-31","129"
"CONS1-1802","6879","3.00","168.18","185.00","175.75","2022-03-31","129"
"CONS1-1803","10410","4.00","8.88","10.00","10.00","2022-03-31","129"
"CONS1-1804","10411","4.00","8.88","10.00","10.00","2022-03-31","129"
"CONS1-1805","2592","1.00","90.00","99.00","94.05","2022-03-31","129"
"CONS1-1806","2593","4.00","168.18","185.00","175.75","2022-03-31","129"
"CONS1-1807","2610","2.00","431.26","550.00","525.00","2022-03-31","129"
"CONS1-1808","10216","3.00","60.63","70.00","66.00","2022-03-31","129"
"CONS1-1809","2606","9.00","248.05","310.00","279.00","2022-03-31","129"
"CONS1-1810","2615","5.00","299.80","340.00","323.00","2022-03-31","129"
"CONS1-1811","10115","1.00","154.32","175.00","166.25","2022-03-31","129"
"CONS1-1812","787","1.00","540.00","750.00","595.00","2022-03-31","129"
"CONS1-1813","9403","1.00","8.57","10.00","10.00","2022-03-31","129"
"CONS1-1814","2622","1.00","286.27","335.00","318.25","2022-03-31","129"
"CONS1-1815","2600","2.00","336.36","370.00","351.50","2022-03-31","129"
"CONS1-1816","2597","6.00","159.09","175.00","166.25","2022-03-31","129"
"CONS1-1817","2599","1.00","190.91","210.00","203.70","2022-03-31","129"
"CONS1-1818","2598","1.00","127.28","140.00","135.80","2022-03-31","129"
"CONS1-1819","11184","1.00","153.64","169.00","160.55","2022-03-31","129"
"CONS1-1820","2614","3.00","163.14","185.00","175.75","2022-03-31","129"
"CONS1-1821","2620","11.00","292.33","335.00","318.25","2022-03-31","129"
"CONS1-1822","2602","1.00","263.64","290.00","275.50","2022-03-31","129"
"CONS1-1823","6077","27.00","137.50","280.00","165.00","2022-03-31","129"
"CONS1-1824","6445","8.00","151.25","265.00","178.00","2022-03-31","129"
"CONS1-1825","6076","10.00","193.75","400.00","225.00","2022-03-31","129"
"CONS1-1826","6446","19.00","182.50","350.00","199.00","2022-03-31","129"
"CONS1-1827","5968","49.00","36.50","45.00","40.00","2022-03-31","129"
"CONS1-1828","5296","2.00","33.89","40.00","36.80","2022-03-31","129"
"CONS1-1829","6398","1.00","38.00","75.00","55.00","2022-03-31","129"
"CONS1-1830","6046","3.00","51.00","75.00","65.00","2022-03-31","129"
"CONS1-1831","8573","1.00","26.00","55.00","45.00","2022-03-31","129"
"CONS1-1832","6038","44.00","24.00","50.00","35.00","2022-03-31","129"
"CONS1-1833","7088","1.00","127.00","180.00","145.00","2022-03-31","129"
"CONS1-1834","6403","1.00","31.50","55.00","42.00","2022-03-31","129"
"CONS1-1835","6404","2.00","230.00","450.00","260.00","2022-03-31","129"
"CONS1-1836","6399","1.00","32.00","60.00","47.00","2022-03-31","129"
"CONS1-1837","6405","38.00","48.00","70.00","58.00","2022-03-31","129"
"CONS1-1838","6037","5.00","38.00","60.00","48.00","2022-03-31","129"
"CONS1-1839","6406","2.00","40.00","85.00","52.00","2022-03-31","129"
"CONS1-1840","6407","22.00","44.00","70.00","55.00","2022-03-31","129"
"CONS1-1841","8566","1.00","39.00","65.00","49.00","2022-03-31","129"
"CONS1-1842","6039","3.00","33.00","60.00","48.00","2022-03-31","129"
"CONS1-1843","6409","9.00","34.00","58.00","46.00","2022-03-31","129"
"CONS1-1844","7086","34.00","30.00","55.00","40.00","2022-03-31","129"
"CONS1-1845","6047","9.00","52.00","75.00","68.00","2022-03-31","129"
"CONS1-1846","6411","3.00","62.50","105.00","85.00","2022-03-31","129"
"CONS1-1847","6412","8.00","26.00","45.00","35.00","2022-03-31","129"
"CONS1-1848","8511","1.00","270.00","480.00","310.00","2022-03-31","129"
"CONS1-1849","8555","20.00","55.00","110.00","75.00","2022-03-31","129"
"CONS1-1850","6416","11.00","4.00","18.00","6.00","2022-03-31","129"
"CONS1-1851","7622","4.00","337.50","495.00","375.00","2022-03-31","129"
"CONS1-1852","8085","34.00","19.00","35.00","28.00","2022-03-31","129"
"CONS1-1853","10649","1.00","11.50","30.00","22.00","2022-03-31","129"
"CONS1-1854","6086","4.00","42.52","70.00","58.00","2022-03-31","129"
"CONS1-1855","6421","1.00","80.00","95.00","85.00","2022-03-31","129"
"CONS1-1856","6014","7.00","22.00","44.00","32.00","2022-03-31","129"
"CONS1-1857","6417","6.00","18.50","40.00","30.00","2022-03-31","129"
"CONS1-1858","6418","1.00","46.25","90.00","70.00","2022-03-31","129"
"CONS1-1859","7260","6.00","100.00","95.00","120.00","2022-03-31","129"
"CONS1-1860","6419","27.00","22.00","40.00","28.00","2022-03-31","129"
"CONS1-1861","6420","33.00","55.00","80.00","68.00","2022-03-31","129"
"CONS1-1862","6141","96.00","51.25","75.00","58.00","2022-03-31","129"
"CONS1-1863","10359","32.00","12.50","30.00","15.00","2022-03-31","129"
"CONS1-1864","6426","2.00","35.60","45.00","40.00","2022-03-31","129"
"CONS1-1865","6028","1.00","31.00","52.00","45.00","2022-03-31","129"
"CONS1-1866","6423","10.00","399.15","550.00","430.00","2022-03-31","129"
"CONS1-1867","6424","7.00","798.00","1050.00","850.00","2022-03-31","129"
"CONS1-1868","6422","1.00","130.00","160.00","145.00","2022-03-31","129"
"CONS1-1869","5966","24.00","25.00","38.00","30.00","2022-03-31","129"
"CONS1-1870","7655","1.00","45.00","65.00","55.00","2022-03-31","129"
"CONS1-1871","6427","13.00","8.90","25.00","13.00","2022-03-31","129"
"CONS1-1872","94","11.00","45.00","70.00","60.00","2022-03-31","129"
"CONS1-1873","6428","2.00","9.75","25.00","15.00","2022-03-31","129"
"CONS1-1874","6429","29.00","9.75","25.00","15.00","2022-03-31","129"
"CONS1-1875","5958","172.00","53.00","64.00","58.00","2022-03-31","129"
"CONS1-1876","7695","1.00","42.80","100.00","60.00","2022-03-31","129"
"CONS1-1877","6430","12.00","21.00","50.00","35.00","2022-03-31","129"
"CONS1-1878","6059","78.00","90.00","98.00","99.00","2022-03-31","129"
"CONS1-1879","6431","1.00","300.00","450.00","340.00","2022-03-31","129"
"CONS1-1880","8464","54.00","35.00","105.00","45.00","2022-03-31","129"
"CONS1-1881","103","51.00","68.00","95.00","78.00","2022-03-31","129"
"CONS1-1882","6433","1.00","11.25","25.00","20.00","2022-03-31","129"
"CONS1-1883","6436","1.00","2262.00","3240.00","2375.00","2022-03-31","129"
"CONS1-1884","10281","2.00","24.00","45.00","28.00","2022-03-31","129"
"CONS1-1885","6434","16.00","94.60","135.00","108.00","2022-03-31","129"
"CONS1-1886","6435","17.00","47.30","75.00","57.00","2022-03-31","129"
"CONS1-1887","6438","6.00","90.00","155.00","120.00","2022-03-31","129"
"CONS1-1888","6439","2.00","260.00","355.00","285.00","2022-03-31","129"
"CONS1-1889","6011","9.00","66.00","85.00","85.00","2022-03-31","129"
"CONS1-1890","6440","26.00","40.00","80.00","65.00","2022-03-31","129"
"CONS1-1891","6104","6.00","80.00","125.00","110.00","2022-03-31","129"
"CONS1-1892","6162","33.00","18.00","50.00","35.00","2022-03-31","129"
"CONS1-1893","6163","15.00","31.25","85.00","45.00","2022-03-31","129"
"CONS1-1894","6441","4.00","9.00","30.00","20.00","2022-03-31","129"
"CONS1-1895","10327","16.00","22.50","135.00","30.00","2022-03-31","129"
"CONS1-1896","6443","3.00","19.40","40.00","31.00","2022-03-31","129"
"CONS1-1897","6164","57.00","155.00","250.00","165.00","2022-03-31","129"
"CONS1-1898","6165","32.00","310.00","500.00","330.00","2022-03-31","129"
"CONS1-1899","9509","2.00","60.00","85.00","75.00","2022-03-31","129"
"CONS1-1900","7910","8.00","157.50","255.00","175.00","2022-03-31","129"
"CONS1-1901","8238","4.00","180.00","245.00","210.00","2022-03-31","129"
"CONS1-1902","6015","1.00","28.00","55.00","40.00","2022-03-31","129"
"CONS1-1903","11142","1.00","37.00","55.00","45.00","2022-03-31","129"
"CONS1-1904","6036","3.00","30.00","50.00","40.00","2022-03-31","129"
"CONS1-1905","10351","1.00","15.00","30.00","18.00","2022-03-31","129"
"CONS1-1906","6456","4.00","29.00","45.00","40.00","2022-03-31","129"
"CONS1-1907","7912","5.00","220.00","350.00","240.00","2022-03-31","129"
"CONS1-1908","8237","10.00","175.00","235.00","185.00","2022-03-31","129"
"CONS1-1909","7911","18.00","177.50","265.00","200.00","2022-03-31","129"
"CONS1-1910","6148","4.00","74.04","100.00","80.00","2022-03-31","129"
"CONS1-1911","6449","21.00","35.30","55.00","45.00","2022-03-31","129"
"CONS1-1912","6448","66.00","70.60","95.00","81.00","2022-03-31","129"
"CONS1-1913","6052","162.00","48.00","90.00","53.00","2022-03-31","129"
"CONS1-1914","6149","66.00","35.25","56.00","42.00","2022-03-31","129"
"CONS1-1915","10284","6.00","17.65","45.00","23.00","2022-03-31","129"
"CONS1-1916","9625","1.00","275.00","365.00","305.00","2022-03-31","129"
"CONS1-1917","11204","2.00","110.00","165.00","135.00","2022-03-31","129"
"CONS1-1918","6450","30.00","31.00","55.00","42.00","2022-03-31","129"
"CONS1-1919","6465","1.00","15.00","30.00","25.00","2022-03-31","129"
"CONS1-1920","6467","73.00","1.80","8.00","5.00","2022-03-31","129"
"CONS1-1921","6468","12.00","12.00","25.00","18.00","2022-03-31","129"
"CONS1-1922","6469","14.00","9.00","20.00","15.00","2022-03-31","129"
"CONS1-1923","9471","8.00","10.00","22.00","15.00","2022-03-31","129"
"CONS1-1924","6470","19.00","8.00","18.00","12.00","2022-03-31","129"
"CONS1-1925","9482","1.00","25.00","55.00","40.00","2022-03-31","129"
"CONS1-1926","9478","4.00","3.50","8.00","5.00","2022-03-31","129"
"CONS1-1927","6476","6.00","3.00","8.00","4.00","2022-03-31","129"
"CONS1-1928","9475","1.00","25.00","65.00","40.00","2022-03-31","129"
"CONS1-1929","9476","2.00","15.00","65.00","30.00","2022-03-31","129"
"CONS1-1930","6478","4.00","10.00","25.00","16.00","2022-03-31","129"
"CONS1-1931","9571","238.00","0.50","3.00","1.20","2022-03-31","129"
"CONS1-1932","6479","118.00","0.73","3.00","2.00","2022-03-31","129"
"CONS1-1933","6480","3.00","2.00","6.00","4.00","2022-03-31","129"
"CONS1-1934","9470","5.00","10.00","35.00","17.00","2022-03-31","129"
"CONS1-1935","6488","11.00","9.00","20.00","15.00","2022-03-31","129"
"CONS1-1936","6490","4.00","12.00","30.00","20.00","2022-03-31","129"
"CONS1-1937","9477","5.00","3.00","12.00","6.00","2022-03-31","129"
"CONS1-1938","6452","44.00","15.05","35.00","24.00","2022-03-31","129"
"CONS1-1939","6451","34.00","30.10","50.00","44.00","2022-03-31","129"
"CONS1-1940","6455","20.00","22.31","45.00","37.00","2022-03-31","129"
"CONS1-1941","6454","13.00","16.00","35.00","24.00","2022-03-31","129"
"CONS1-1942","6453","8.00","34.00","65.00","42.00","2022-03-31","129"
"CONS1-1943","5990","9.00","62.50","85.00","75.00","2022-03-31","129"
"CONS1-1944","6507","1.00","10.00","20.00","20.00","2022-03-31","129"
"CONS1-1945","6063","23.00","62.50","98.00","85.00","2022-03-31","129"
"CONS1-1946","6508","1.00","25.00","35.00","28.00","2022-03-31","129"
"CONS1-1947","5949","8.00","3.77","20.00","10.00","2022-03-31","129"
"CONS1-1948","6509","9.00","16.00","28.00","22.00","2022-03-31","129"
"CONS1-1949","7635","2.00","40.00","65.00","45.00","2022-03-31","129"
"CONS1-1950","6510","3.00","80.00","115.00","90.00","2022-03-31","129"
"CONS1-1951","6512","5.00","3.62","25.00","15.00","2022-03-31","129"
"CONS1-1952","6513","28.00","45.00","70.00","55.00","2022-03-31","129"
"CONS1-1953","8465","3.00","11.50","55.00","26.00","2022-03-31","129"
"CONS1-1954","6096","14.00","18.00","98.00","25.00","2022-03-31","129"
"CONS1-1955","6516","3.00","13.00","98.00","30.00","2022-03-31","129"
"CONS1-1956","6114","4.00","34.65","56.00","48.00","2022-03-31","129"
"CONS1-1957","5947","4.00","13.25","56.00","23.00","2022-03-31","129"
"CONS1-1958","6100","23.00","26.50","46.00","38.00","2022-03-31","129"
"CONS1-1959","9638","1.00","110.00","155.00","135.00","2022-03-31","129"
"CONS1-1960","6505","2.00","110.00","155.00","135.00","2022-03-31","129"
"CONS1-1961","6460","1.00","99.20","145.00","125.00","2022-03-31","129"
"CONS1-1962","6506","1.00","99.20","145.00","125.00","2022-03-31","129"
"CONS1-1963","9771","5.00","20.00","40.00","30.00","2022-03-31","129"
"CONS1-1964","9527","6.00","25.00","50.00","35.00","2022-03-31","129"
"CONS1-1965","6517","3.00","16.00","35.00","25.00","2022-03-31","129"
"CONS1-1966","5978","98.00","35.00","65.00","48.00","2022-03-31","129"
"CONS1-1967","6021","67.00","30.00","50.00","42.00","2022-03-31","129"
"CONS1-1968","6521","58.00","11.00","20.00","15.00","2022-03-31","129"
"CONS1-1969","9533","5.00","30.00","55.00","35.00","2022-03-31","129"
"CONS1-1970","6166","17.00","57.50","95.00","72.00","2022-03-31","129"
"CONS1-1971","6523","5.00","23.50","45.00","35.00","2022-03-31","129"
"CONS1-1972","5988","12.00","39.37","85.00","55.00","2022-03-31","129"
"CONS1-1973","9639","1.00","110.00","155.00","135.00","2022-03-31","129"
"CONS1-1974","7190","5.00","12.00","30.00","18.00","2022-03-31","129"
"CONS1-1975","9530","1.00","120.00","225.00","165.00","2022-03-31","129"
"CONS1-1976","6525","2.00","153.33","320.00","240.00","2022-03-31","129"
"CONS1-1977","6526","3.00","900.00","2500.00","1299.00","2022-03-31","129"
"CONS1-1978","6016","4.00","50.00","140.00","85.00","2022-03-31","129"
"CONS1-1979","6040","5.00","35.00","55.00","45.00","2022-03-31","129"
"CONS1-1980","6539","8.00","8.00","15.00","10.00","2022-03-31","129"
"CONS1-1981","6099","3.00","27.50","53.00","40.00","2022-03-31","129"
"CONS1-1982","9439","1.00","37.50","452.00","55.00","2022-03-31","129"
"CONS1-1983","6527","1.00","550.00","950.00","780.00","2022-03-31","129"
"CONS1-1984","6533","1.00","280.00","449.00","389.00","2022-03-31","129"
"CONS1-1985","9469","2.00","420.00","850.00","599.00","2022-03-31","129"
"CONS1-1986","6536","1.00","650.00","1350.00","949.00","2022-03-31","129"
"CONS1-1987","6546","43.00","90.50","110.00","98.00","2022-03-31","129"
"CONS1-1988","6079","83.00","45.25","65.00","52.00","2022-03-31","129"
"CONS1-1989","6552","3.00","88.00","110.00","98.00","2022-03-31","129"
"CONS1-1990","6554","6.00","44.00","60.00","52.00","2022-03-31","129"
"CONS1-1991","10203","1.00","70.30","99.00","80.00","2022-03-31","129"
"CONS1-1992","8530","1.00","10.00","26.00","20.00","2022-03-31","129"
"CONS1-1993","9754","30.00","10.00","25.00","15.00","2022-03-31","129"
"CONS1-1994","6555","74.00","20.40","30.00","24.00","2022-03-31","129"
"CONS1-1995","6556","2.00","786.00","950.00","820.00","2022-03-31","129"
"CONS1-1996","9830","5.00","60.00","100.00","80.00","2022-03-31","129"
"CONS1-1997","8797","7.00","16.00","95.00","25.00","2022-03-31","129"
"CONS1-1998","6545","2.00","40.00","80.00","55.00","2022-03-31","129"
"CONS1-1999","6558","66.00","37.50","60.00","48.00","2022-03-31","129"
"CONS1-2000","7867","2.00","7.00","10.00","8.40","2022-03-31","129"
"CONS1-2001","10275","1.00","21.25","45.00","25.50","2022-03-31","129"
"CONS1-2002","5929","45.00","95.50","135.00","105.00","2022-03-31","129"
"CONS1-2003","5930","62.00","47.75","75.00","55.00","2022-03-31","129"
"CONS1-2004","6029","14.00","36.50","70.00","48.00","2022-03-31","129"
"CONS1-2005","6563","7.00","30.00","48.00","36.00","2022-03-31","129"
"CONS1-2006","6564","1.00","30.00","48.00","36.00","2022-03-31","129"
"CONS1-2007","6550","2.00","74.00","105.00","80.00","2022-03-31","129"
"CONS1-2008","9660","40.00","5.17","20.00","15.00","2022-03-31","129"
"CONS1-2009","6167","8.00","73.50","96.00","90.00","2022-03-31","129"
"CONS1-2010","6060","12.00","87.00","125.00","95.00","2022-03-31","129"
"CONS1-2011","6565","4.00","22.50","55.00","35.00","2022-03-31","129"
"CONS1-2012","5922","16.00","56.25","85.00","75.00","2022-03-31","129"
"CONS1-2013","6567","5.00","24.00","30.00","30.00","2022-03-31","129"
"CONS1-2014","5920","3.00","60.00","85.00","70.00","2022-03-31","129"
"CONS1-2015","5921","2.00","130.00","150.00","145.00","2022-03-31","129"
"CONS1-2016","6019","13.00","86.00","110.00","96.00","2022-03-31","129"
"CONS1-2017","8529","4.00","80.00","145.00","95.00","2022-03-31","129"
"CONS1-2018","5914","26.00","110.50","145.00","120.00","2022-03-31","129"
"CONS1-2019","5941","4.00","26.15","0.00","35.00","2022-03-31","129"
"CONS1-2020","5915","83.00","55.25","75.00","65.00","2022-03-31","129"
"CONS1-2021","5979","57.00","96.50","145.00","108.00","2022-03-31","129"
"CONS1-2022","6110","182.00","25.00","35.00","27.00","2022-03-31","129"
"CONS1-2023","6111","7.00","132.50","140.00","145.00","2022-03-31","129"
"CONS1-2024","5987","53.00","48.25","75.00","58.00","2022-03-31","129"
"CONS1-2025","5972","11.00","19.00","50.00","34.00","2022-03-31","129"
"CONS1-2026","5989","18.00","175.88","250.00","200.00","2022-03-31","129"
"CONS1-2027","5984","20.00","202.50","355.00","240.00","2022-03-31","129"
"CONS1-2028","8467","5.00","270.00","540.00","299.00","2022-03-31","129"
"CONS1-2029","6005","57.00","11.00","35.00","18.00","2022-03-31","129"
"CONS1-2030","8468","1.00","105.00","195.00","130.00","2022-03-31","129"
"CONS1-2031","8466","1.00","26.25","55.00","40.00","2022-03-31","129"
"CONS1-2032","6571","1.00","43.50","85.00","65.00","2022-03-31","129"
"CONS1-2033","6570","4.00","25.00","45.00","35.00","2022-03-31","129"
"CONS1-2034","5937","19.00","90.50","130.00","99.00","2022-03-31","129"
"CONS1-2035","5936","28.00","45.25","75.00","55.00","2022-03-31","129"
"CONS1-2036","6573","22.00","110.00","180.00","130.00","2022-03-31","129"
"CONS1-2037","6575","11.00","100.00","185.00","125.00","2022-03-31","129"
"CONS1-2038","6123","4.00","26.00","45.00","35.00","2022-03-31","129"
"CONS1-2039","10185","1.00","40.00","65.00","58.00","2022-03-31","129"
"CONS1-2040","10186","1.00","60.00","120.00","90.00","2022-03-31","129"
"CONS1-2041","6025","2.00","160.00","235.00","185.00","2022-03-31","129"
"CONS1-2042","6579","8.00","262.50","285.00","312.50","2022-03-31","129"
"CONS1-2043","6581","23.00","70.00","90.00","80.00","2022-03-31","129"
"CONS1-2044","6583","5.00","16.75","25.00","23.00","2022-03-31","129"
"CONS1-2045","6026","57.00","0.50","88.00","4.00","2022-03-31","129"
"CONS1-2046","6580","25.00","163.50","225.00","185.00","2022-03-31","129"
"CONS1-2047","5973","21.00","70.00","90.00","80.00","2022-03-31","129"
"CONS1-2048","6572","10.00","5.60","20.00","13.00","2022-03-31","129"
"CONS1-2049","5959","28.00","47.00","50.00","52.00","2022-03-31","129"
"CONS1-2050","5923","19.00","41.00","60.00","52.00","2022-03-31","129"
"CONS1-2051","5948","3.00","38.00","88.00","48.00","2022-03-31","129"
"CONS1-2052","6592","23.00","38.00","65.00","49.00","2022-03-31","129"
"CONS1-2053","5916","38.00","85.60","115.00","95.00","2022-03-31","129"
"CONS1-2054","5917","54.00","42.80","65.00","48.00","2022-03-31","129"
"CONS1-2055","5918","65.00","103.60","135.00","115.00","2022-03-31","129"
"CONS1-2056","5919","127.00","51.80","75.00","60.00","2022-03-31","129"
"CONS1-2057","6595","4.00","30.35","55.00","46.00","2022-03-31","129"
"CONS1-2058","5960","15.00","55.00","85.00","62.00","2022-03-31","129"
"CONS1-2059","5943","252.00","43.00","46.00","48.00","2022-03-31","129"
"CONS1-2060","5951","194.00","45.00","52.00","50.00","2022-03-31","129"
"CONS1-2061","6596","10.00","14.50","35.00","25.00","2022-03-31","129"
"CONS1-2062","6007","70.00","14.20","28.00","20.00","2022-03-31","129"
